message,lable
Tip: Only the first camera can tap-zoom in dual gimbal control mode.,0
Signal Lost.,1
Aircraft will be forced to land.,1
Weak GPS signal.,1
Please step farther away.,0
Exited HyperlapseData.,1
Downlink Restored (after 0m <NUM> .8s).,1
Check and log in.,0
"Return sticks to midpoints, then continue flying.",0
Check battery status and charge or warm up battery.,0
Aircraft unstable atcruising altitude.,1
Motor speed error.,1
Aircraft max power load reached.,1
Maximum Flight AltitudeRange.,1
Calibration subject is too close.,1
Live stream video frame rate less than 9Hz.,0
Obstacle Avoidance has been disabled.,1
Auxiliary Bottom Light turned on.,1
In Flight.,0
Unable to display nearby manned aircraft and anti-collision warnings.,1
High Wind Velocity:,1
Check and re-installFirefox.,0
Unlocking takeoffis not recommended.,1
Aircraft is in Tripod Mode.,0
Contact DJI support.,0
Positioning accuracy affected.,1
CommandLoadout.,1
calibration required.,1
Gimbal <UNK> pan axis endpoint reached.,1
Recenter Gimme Pan.,0
The aircraft is flying back to the start point.,1
Take care of your gimbal when landing.,0
CheckVPN connection.,0
Unknown Error.,1
Backward obstacle sensing is unavailable.,0
Network performance will be affected.,1
RTH altitude adjusted to <UNK> .,1
May violate local policies and regulations.,0
Aircraft Entering Restricted AreaAreas,1
Excessive gimbal vibration.,1
Change card or delete files.,0
Current flight speed is <UNK> .,0
Altitude above the takeoff point exceeds <UNK> .,1
"Ambient Light too Weak,",1
Loading databasequeries.,1
APAS has been enabled.,1
"Land as soon as possible, otherwise the battery will be damaged.",0
Downlink Restored (after 0m <NUM> .2s).,1
"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available.",0
Cannotdisable ActiveTrack.,1
Positioning accuracy may be compromised.,1
"Another aircraft is dangerously close,",1
Cannot switch flight mode.,1
Max altitude reached (Altitude limit: <UNK> ) .,1
Check battery connection.,0
Strong Aircraft Interference.,1
Approaching a No-Fly Zone.,1
Cannot enter the selected flight mode.,1
Downlink Restored (after 0m <NUM> .6s).,1
Camera Settings ActiveTrack Optimized.,1
Aircraft unable to fly stably.,1
Fly at a safe altitude.,0
Change card or delete files.,0
Cannot change current flightschedule.,1
Aircraft is now following you!,1
Maximum Flight Altitude Reached.,1
Gimbal <UNK> pitch axis endpoint reached.,1
RTH Altitude : 30m.,0
Warning: Battery Temperature Below <NUM> C (59F).,1
ActiveAir Flight Paused.,1
Motor is Blocked.,1
Check for objects blocking motor or contactUCI Support for assistance .,0
Check and re-install battery.,0
Move toan open area or exit flight tutorial.,0
Batterydrain low.,1
Adjust the distancefrom MC Settings if required.,0
Positioning accuracy affected.,1
Please stepright away.,0
View the checklist aftercheckout.,0
Mobile device version too old to support HD image transmission and the image transmission mode has been switch to normal mode.,1
Panorama Captured Successfully.,1
No SD card.,1
Exit Backward Forward Downward Upward Sensing systemEdit,0
UnknownNames.,1
mAh battery.,1
Panorama has stoppedfilming,1
Gimbal Tilt too Large.,1
Forcedwork in progress.,1
Flight range restricted.,1
IMU attitude restricted.,1
RTH Altitude is<UNK> .,0
Flight distance may exceed line-of-sight.,1
You can reset the RTH Altitude in Remote Controller Settingsbefore cancelling RTH.,0
Connect to network to obtain mobileinternet location.,0
Return aircraft to an area nearby the home point promptly and fly in a wind-freemanner to ensure flight safety.,0
Manned aircraftcarrier.,1
Motor idle.,1
Exit P-GPS Mode.,0
Lightly press it to adjust.,0
Aircraft will decelerate during landing.,1
Image quality affected.,1
Secure the USB connection with aircraft.,0
Remote ID functionality normal.,1
Recovering unstable.,1
Aircraft in Authorization Zone.,1
Abnormal compass function or GPSanomaly detected.,1
View the checklist after landing.,0
Fly with Caution.,0
Strong Interference DetectedDetected,1
Warning: Motor ObstructedDriving,1
Downlink Restored (after 0m <NUM> .gifs).,1
Connect to network to obtain mobile device location.,0
ActiveTrack FlightSimulator:,1
Starting Waypoint Mission.,1
Tip: Only the first camera can tap-zoominto dual gimbal control mode.,0
Report error.,1
Obstacle Sensing will be disabled whenaircraft is landing.,1
Drone is Vibrating.,1
"Cannot takeoff in a no-fly zone.""",1
ActiveTrack Flight Stopping.,1
Motor is idling (lost or missing propeller).,1
Check motor.,0
Descend as soon as possible.,0
Positioning accuracy may be compromised.,1
Return the aircraft to an area nearby the home point promptly to ensure flight safety.,1
sprayed <UNK> at <UNK> liters/min.,1
Aircraft unable to hover.,1
GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant).,1
Ensure controlsystems are centered during takeoff.,0
Returning home.,1
Motor Obstructed.,1
Yaw ErrorLog,1
GPS signal low.,1
pleasedrain the battery.,0
Aircraft in Attitude mode.,1
MotorTrend.,1
Compass Redundance Switch.,1
Cannot enable Follow Me Mode.,1
Cannot TrackErrors.,1
At Least Two Waypoints Required.,0
Batteryusage restricted.,1
Aircraft pitch angle too large.,1
Color display in Liveview is enhanced.,1
Compass error.,1
Battery power restricted.,1
Lightly press it to adjust.,0
Critically Low Voltage Warning.,1
Account notlogged in.,0
Aircraft is in Attitude mode and hovering may be unstable.,1
Failed to cancelBack to Home.,1
TIPS signal weak.,1
Cannot enterShow Me Mode.,1
Low battery.,1
GEO Zone Info: The target area is in an Altitude Zone.,1
"When exceeding <UNK> , Obstacle Avoidance is not available.",0
Entire Cruise Control mode.,1
Charge batterycharger,1
ContactFOI support.,0
Aircraft flight control lockeddown,1
Propeller Guard MountedPropeller Guard mounted.,1
Airircraft returning to home automatically.,1
Livestreaming video frame rate less than 9Hz.,0
Try again later.,0
Return to Land.,0
Descending.,1
RTH :Yes.,1
Restart aircraft ordisable DJI Support if the issue persists.,0
Aircraft is in Tripod Mode.,0
Cannot Takeoff in Travel Mode.,1
Waypoint Mission Researcher.,1
Cannot enter Follow Me Mode.,1
Large Wind Velocity.,1
Command Failed.,1
Aircraft Core Board Overheated.,1
Check whether gimps can rotate freely.,0
Cannot Enter TapFly Cannot fly in that direction.,1
Failed to cancel Return to Home.,1
Battery level low.,1
LandRover Gear Raising.,1
Altitude Less than <UNK> .,0
Subject lost.,1
Downlink data connection lost for <UNK> seconds.,1
Remote controller signalprocessing.,1
Warning: Critically low battery.,1
